Gene,Function
COL9A2,Structural components of hyaline cartilage
COL9A3,Structural components of hyaline cartilage
COL11A2,Involved in cartilage development
COL8A2,Involved in the organization of the extracellular matrix
ACAN,The main component of the extracellular matrix of cartilage tissue
BGN,Involved in the development of articular cartilage
COL27A1,Involved in cartilage calcification
LEPREL1,Involved in collagen metabolism
LEPREL2,Involved in collagen metabolism
CILP,Overexpression may lead to inhibition of chondrocyte growth and matrix repair
HAPLN1,Stabilizing proteoglycan monomer aggregates in the extracellular cartilage matrix
FMOD,Involved in the organization of collagen fibers
PRELP,Matrix proteins of articular cartilage
MMP3,Degrade cartilage proteoglycan
PRG4,Acts as a boundary lubricant on the cartilage surface
COLGALT2,Involved in the organization of collagen fibers
FGF2,Involved in osteoblast differentiation
SERPINE1,Fibrinolysis inhibitors
CSPG4,Involved in chondroitin sulfate / dermatan sulfate metabolism
ITGA2,Involved in the newly synthesized extracellular matrix organization
XYLT1,Involved in the normal maturation of chondrocytes during bone development
ITGA5,Receptors for fibronectin and fibrinogen
ITGB8,Fibronectin receptor
CSGALNACT1,Involved in the biosynthesis of chondroitin chains in chondrogenesis
NGF,Involved in the cell surface receptor protein tyrosine kinase signaling pathway
SOX5,Transcription factors involved in chondrocyte differentiation and chondrogenesis
APOB,Involved in the process of lipid metabolism
EPAS1,Transcription factors involved in the induction of genes regulating oxygen
CLU,Involved in immune system processes
TNC,Involved in osteoblast differentiation
TNXB,Accelerates the formation of collagen fibers
ELANE,Involved in the inflammatory response
CHPF,Involved in the biosynthesis of chondroitin sulfate
PPARGC1A,Involved in gluconeogenesis
ACSL1,Involved in lipid metabolism
SCD,Involved in lipid metabolism
CTSK,Involved in bone resorption by osteoclasts
SERPINA3,Involved in inflammation
SERPINA1,Serine protease inhibitors
HSPA1B,Involved in the negative regulation of cell growth
