,C-reactive protein,Neutrophill count,Neutrophill percentage,Monocyte count,Monocyte percentage,Basophill count,Basophill percentage,Eosinophill count,Eosinophill percentage,Urea,Urate,Mean platelet volume,Mean corpuscular haemoglobin concentration,Mean corpuscular haemoglobin,Total bilirubin,Total protein,Lymphocyte count,Lymphocyte percentage,Leukocyte count,Albumin,Direct bilirubin,Alkaline phosphatase,Phosphate,Erythrocyte count,Erythrocyte distribution width,Haematocrit percentage,Mean corpuscular volume,Creatinine,Cystatin C,Glucose,Platelet count,Platelet distribution width,Platelet crit,Haemoglobin concentration,Alanine aminotransferase,Glutamyltransferase,Aspartate aminotransferase,Calcium,Sex,Age
COL8A2,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1151149571398578,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6402343563076025,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
COL9A2,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-34.95345034411393,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
NGF,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
CTSK,-0.0,73.58199634942619,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,97.60671865883803,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-224.55239377283206,-0.0,-0.0,25.778567785462705,-0.0,0.0,0.0,0.0,-49.78354450386311,25.840136065346602,0.0,0.0,96.39838887593062,0.0,0.0
COLGALT2,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.3928812376437256,0.0,0.0,-0.5122621004095835,0.0,-0.0,0.0,-0.0,3.4427169262217174,0.0,-0.0,0.0,-0.0,-0.0,-0.0
PRG4,0.0,-0.0,-0.0,-48.676898736695286,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-42.93608940500267,0.0,0.0,-76.24838637308747,0.0,-0.0,0.0,-26.612791567548324,-0.0,-0.0,178.56885636107714,0.0,0.0,-0.0,0.0,84.85503018140736,-0.0,31.92039433094062,-0.0,-0.0,-0.0,-87.62671327018438,126.82802113458345,-0.0,-16.007690176133725,-66.49249722859865,0.0,-0.0,0.0
FMOD,671.0006664629196,-0.0,0.0,-0.0,918.8022640174892,-78.44505965020913,-0.0,-348.8620114333816,-0.0,-641.7257185860702,-301.0730049048791,375.5438486771313,0.0,-0.0,-0.0,1080.5823765764035,-0.0,430.5778807980334,-206.26293514275886,-0.0,-178.52602753986827,-421.4951788210901,241.10298573589628,0.0,-51.53910185979968,553.6848362056624,-136.35167314980012,1045.7657852748837,-803.9664869956638,225.97216286668413,-231.94824805333357,0.0,-0.0,655.3590853566429,-12.536912526859926,-241.58938857519502,390.55326564597607,-1470.4564349831198,682.9783110065299,402.4487475366659
PRELP,0.0,-0.0,0.0,-0.0,624.82142611198,0.0,0.0,-255.92123809793756,-0.0,-0.0,-18.30250153490896,215.05663009816675,0.0,-0.0,-0.0,0.0,-0.0,0.0,-366.06699471851084,-0.0,0.0,-154.69103831154624,21.58244486648392,111.38604524862876,3.536863716747502,0.0,-179.90248604330628,692.6702905971937,-818.1627781951703,99.25378887268414,-0.0,0.0,-0.0,333.1514866934951,-0.0,-12.9331648886603,56.08827960779515,-358.2422851710313,0.0,0.0
APOB,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
EPAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHPF,37.462173889805705,-39.547699329438366,-0.0,-0.0,0.0,0.0,3.345976075326385,0.0,0.0,-7.807156892542793,-19.371654262655063,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-3.0207941032654717,-0.0,15.40146550856103,-0.0,33.49116696426215,4.243482447014491,30.48082337428497,-35.8182279950456,5.340692219668912,-13.089014763067254,-0.0,-4.959051821215288,29.401213184237466,-1.448487157860198,-17.5197060723004,0.0,-21.73380167976817,0.0,2.8307276189134942
